rowid,FILM,STARS,RATING,VOTES
336,The Peanuts Movie (2015),4.5,4.2,5
337,Ennum Eppozhum (2015),3.0,2.8,5
338,The Ark Of Mr. Chow (2015),3.0,2.8,5
339,Humpback Whales 3D (2015),4.0,3.8,5
340,Police Story: Lockdown (2015),5.0,4.8,5
341,Fresh Dressed (2015),4.5,4.4,5
342,Two Step (2015),4.5,4.4,5
343,An Open Secret (2015),3.0,3.0,5
344,"3 1/2 Minutes, Ten Bullets (2015)",4.0,4.0,5
345,Bonobos: Back To The Wild (2015),4.0,4.0,5
346,Magician: The Astonishing Life and Work of Orson Welles (2014),4.0,4.0,5
347,Detective K: Secret of the Lost Island (2015),3.0,2.5,4
348,Fort Tilden (2015),3.0,2.5,4
349,ESL One Cologne Counter-Strike: GO Finals Live (2015),4.0,3.5,4
350,"People, Places, Things (2015)",5.0,4.5,4
351,Ten Thousand Saints (2015),5.0,4.5,4
352,The Yes Men Are Revolting (2015),5.0,4.5,4
353,24 Days (2015),3.5,3.3,4
354,Black Mass (2015),3.5,3.3,4
355,Komban (2015),3.5,3.3,4
356,Cupcakes (2015),4.0,3.8,4
357,Misery Loves Comedy (2015),4.0,3.8,4
358,Rakshasudu (2015),4.0,3.8,4
359,Wonderful Nightmare (2015),4.0,3.8,4
360,Indru Netru Naalai (2015),4.5,4.3,4
361,I Am Chris Farley (2015),5.0,4.8,4
362,The Good Dinosaur (2015),5.0,4.8,4
363,The Mafia Only Kills in Summer (2015),3.0,3.0,4
364,Legends from the Sky (2015),4.0,4.0,4
365,SBK The-Movie (2015),4.0,4.0,4
366,National Theatre Live: The Hard Problem (2015),5.0,5.0,4
367,The Boy (2015),5.0,5.0,4
368,The Perfect Guy (2015),5.0,5.0,4
369,Forbidden Films (2015),3.0,2.7,3
370,A Poem Is a Naked Person (2015),4.0,3.7,3
371,Buzzard (2015),4.0,3.7,3
372,Court (2015),4.0,3.7,3
373,A Walk in the Woods (2015),4.5,4.3,3
374,Drafthouse Films: ROAR (2015),4.5,4.3,3
375,The Girl is in Trouble (2015),4.5,4.3,3
376,Winning: The Racing Life Of Paul Newman (2015),4.5,4.3,3
377,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll (2015),4.0,4.0,3
378,Dukale's Dream (2015),4.0,4.0,3
379,Marie's Story (2015),4.0,4.0,3
380,Royal Ballet: The Winterâ€™s Tale (2015),4.0,4.0,3
381,Fall to Rise (2015),5.0,5.0,3
382,Turbo Kid (2015),5.0,4.0,2
383,Hunting Elephants (2015),3.0,2.5,2
384,Felt (2015),4.0,3.5,2
385,October Gale (2015),2.0,2.0,2
386,1001 Grams (2015),3.0,3.0,2
387,Charlie's Country (2015),3.0,3.0,2
388,Jauja (2015),3.0,3.0,2
389,Love at First Fight (2015),3.0,3.0,2
390,The Lovers (2015),3.0,3.0,2
391,Welcome to New York (2015),3.0,3.0,2
392,Rebels of the Neon God (2015),4.0,4.0,2
393,The Visit (2015),4.0,4.0,2
394,We Come as Friends (1),4.0,4.0,2
395,Appropriate Behavior (2015),5.0,5.0,2
396,Dogs on the Inside (2015),5.0,5.0,2
397,She's Lost Control (2015),5.0,5.0,2
398,The Forecaster (2015),5.0,5.0,2
399,The Seven Five (2015),5.0,5.0,2
400,The Transporter Refueled (2015),5.0,5.0,2
401,Tiger (2015),5.0,5.0,2
402,Maya the Bee Movie (2015),1.0,1.0,1
403,Nannbenda (2015),1.0,1.0,1
404,Ned Rifle (2015),1.0,1.0,1
405,Closer to the Moon (2015),2.0,2.0,1
406,Treading Water (2015),2.0,2.0,1
407,Amour Fou (2015),3.0,3.0,1
408,Dark Star: H.R. Giger's World (2015),3.0,3.0,1
409,Empire of Lust (2015),3.0,3.0,1
410,Hungry Hearts (2015),3.0,3.0,1
411,Nannbenda (2015),3.0,3.0,1
412,"One Cut, One Life (2015)",3.0,3.0,1
413,The Face of an Angel (2015),3.0,3.0,1
414,The Living (2015),3.0,3.0,1
415,Wild Canaries (2015),3.0,3.0,1
416,Buggs Bunny (2015),4.0,4.0,1
417,Digging for Fire (2015),4.0,4.0,1
418,Every Last Child (2015),4.0,4.0,1
419,Journey to Space (2015),4.0,4.0,1
420,Kidnapping Mr. Heineken (2015),4.0,4.0,1
421,Reality (2015),4.0,4.0,1
422,Stung (2015),4.0,4.0,1
423,The Mend (1),4.0,4.0,1
424,A Hard Day (2015),5.0,5.0,1
425,A Midsummer Night's Dream (2015),5.0,5.0,1
426,A Murder In The Park (2015),5.0,5.0,1
427,Bound to Vengeance (2015),5.0,5.0,1
428,Captive (2015),5.0,5.0,1
429,Far From Men (2015),5.0,5.0,1
430,L.A. Slasher (2015),5.0,5.0,1
431,Sexy et en cavale (2015),5.0,5.0,1
432,That Guy Dick Miller (2015),5.0,5.0,1
433,That Sugar Film (2015),5.0,5.0,1
434,The Intern (2015),5.0,5.0,1
435,The Park Bench (2015),5.0,5.0,1
436,The Wanted 18 (2015),5.0,5.0,1
437,Z For Zachariah (2015),5.0,5.0,1
438,6 Years (2015),0.0,0.0,0
439,7 Minutes (2015),0.0,0.0,0
440,A Year in Champagne (2015),0.0,0.0,0
441,Balls Out (2015),0.0,0.0,0
442,Before I Wake (2015),0.0,0.0,0
443,Big Significant Things (2015),0.0,0.0,0
444,Caprice (2015),0.0,0.0,0
445,Cas d&#233;sesp&#233;r&#233; (2015),0.0,0.0,0
